date,text
01/01/2016,Investment news; Banking sector share price BBCA (IDR13 300) BBRI (IDR11 425) BMRI (IDR9 250) BBNI (IDR4.490)
02/01/2016,USB kartu 16 gb Bmri https://t.co/vLpQHSpZ1q
02/01/2016,Terimakasih atas kepercayaannya. SDP 19 2C Mantaaaaap! RT @Ruyunk_Ramone: @pocket_travel #BMRI SDP19 2C https://t.co/1g1ffFo3Wt
03/01/2016,https://t.co/mFRVPh3sQ3 FiboPrincess notes 040116 BMRI CTRP CTRS TELE @AriaSantoso @ryanfilbert @bei5000 @ngaturduit @IDXchart
04/01/2016,@candrahtb BMRI pungut klo dibawah 9000 .ADHI pungut dibawah 2100 .wskt mu di harga berapa ko' punya ?
04/01/2016,24.Buat tmn2 yg msh pemula bbrp shm ini layak u/ dipilih dlm keg. menabung shm yi BBRI BMRI AKRA HMSP ASII UNVR ADHI @IDX_BEI#YukNabungSaham
04/01/2016,#kafein ASING membukukan NET BUYing tipis setara 84M pada saham BMRI +59M TLKM +50M.
04/01/2016,...dimana asing membukukan IDR84.2bn pembelian bersih dengan melakukan bargain hunting pada BMRI TLKM BBRI INDF. Diperdagangkan...#AMR
04/01/2016,Kondisi ekonomi yang masih belum stabil membuat PT Bank Mandiri Tbk (BMRI) fokus meningkatkan pertumbuhan organik https://t.co/PkqG3j9Mi1
04/01/2016,Dari garis MA-nya BMRI cenderung naik support-nya didukung 4 garis #MA; R1 di 9675 dan R2 di 10000. https://t.co/OFmABuewhe
04/01/2016,9:37 WIB - TOP GAINERS: HMSP +1.60% INDF +4.83% ASII +0.42% TOP LOSERS: BMRI -1.08% BBRI -0.66% GGRM -1.41% #IHSG #SAHAM #INDEKS
04/01/2016,Bank Mandiri sebarkan kartu chip tahun ini: BMRI akan mulai menerbitkan kartu ATM/ Debit berchip secara berta... https://t.co/kzm1JzT0mG
04/01/2016,#Keuangan Bank Mandiri sebarkan kartu chip tahun ini: BMRI akan mulai menerbitkan kartu ATM/ Debit berchip se... https://t.co/UKOqkUEdhz
04/01/2016,Bank Mandiri sebarkan kartu chip tahun ini: BMRI akan mulai menerbitkan kartu ATM/ Debit berchip secara berta... https://t.co/vI0cup5n52
04/01/2016,Simak!............ Bank Mandiri sebarkan kartu chip tahun ini: BMRI akan mulai menerbitkan ka... https://t.co/tsGsqzQvKD cc @BISMAcenter
05/01/2016,#kafein ASING NET BUYing tipis setara +72M pada saham BMRI +97M TLKM +68M dan BBRI +52 dgn NET SELL pada UNVR -60M dan BBNI -57M.
05/01/2016,...dengan melakukan perburuan terhadap saham-saham unggulan seperti; ASII BBRI BMRI BBCA. Sektor aneka industry dan perkebunan...#AMR
06/01/2016,BMRI - BANK MANDIRI SALURKAN KUR Rp3 5 TRILIUN https://t.co/23clcQysV3
06/01/2016,BMRI - BANK MANDIRI SALURKAN KUR Rp3 5 TRILIUN https://t.co/NI7mE2zt6d
06/01/2016,BMRI - BANK MANDIRI SALURKAN KUR Rp3 5 TRILIUN https://t.co/gMGuh0NQWZ
06/01/2016,Lampaui Target Mandiri Salurkan KUR Rp3 5 Triliun di 2015: PT Bank Mandiri (Persero) Tbk (BMRI) telah menyalu... https://t.co/LUAE3V9jBX
06/01/2016,Lampaui Target Mandiri Salurkan KUR Rp3 5 Triliun di 2015: PT Bank Mandiri (Persero) Tbk (BMRI) telah menyalu... https://t.co/M3xOCdPqIZ
06/01/2016,Lampaui Target Mandiri Salurkan KUR Rp3 5 Triliun di 2015: PT Bank Mandiri (Persero) Tbk (BMRI) telah menyalu... https://t.co/0rkKxVMnKv
06/01/2016,Analisis Teknikal SahamÂ BMRI https://t.co/WDdZjkbFEQ https://t.co/omajeHyleo
07/01/2016,USB kartu 16 gb Bmri https://t.co/vLpQHSpZ1q
07/01/2016,#kafein ASING membukukan NET SELLing setara -461M pada saham : BBCA-198M BBRI -74M BMRI -73M dan UNVR -54M.
07/01/2016,Masa kepemimpinan Budi Gunadi Sadikin sebagai Direktur Utama PT Bank Mandiri (Persero) Tbk (BMRI) akan selesai... https://t.co/iUmBAm5fBQ
07/01/2016,Kredit Mikro: BMRI &amp; BBRI Pacu KUR https://t.co/1qiKSRKZu4
07/01/2016,Cermati saham berikut untuk perdagangan hari ini: AKRA BMRI TLKM dan WIKA #marketoutlook
07/01/2016,#InfoNews BMRI telah menyalurkan Kredit Usaha Rakyat (KUR) sebesar Rp 3 5 triliun sampai akhir Desember 2015. https://t.co/jQg8ulAuDW
08/01/2016,#kafein ASING NET SELLing -697M pada saham : BBCA -179M TLKM -107M BMRI -65M UNVR -59M dan LPPF -51M. Dan NET BUY pada saham BBRI +76M.
08/01/2016,BMRI - BANK MANDIRI FASILITASI PERTUKARAN PELAJAR https://t.co/LKcS1TPNQD
08/01/2016,Investment news; Banking sector share price: BBCA US$13 025; BBRI US$11 550; BMRI US$9 175; BBNI US$4 990
08/01/2016,BMRI - BANK MANDIRI FASILITASI PERTUKARAN PELAJAR https://t.co/7jY16w4CD0
08/01/2016,BMRI - BANK MANDIRI FASILITASI PERTUKARAN PELAJAR https://t.co/fzvcubVaOh
08/01/2016,Yayasan Lembaga Konsumen Indonesia (YLKI) mencatat pengaduan nasabah PT Bank Mandiri Tbk (BMRI) paling banyak... https://t.co/0mKfs74jhQ
08/01/2016,@ikanatassa kalo diperhatiin rata2 cover bukunya senada sama corporate colornya BMRI (kebetulan?) Clean and simple. Love!
08/01/2016,BMRI mencatat telah menyalurkan KUR sebesar Rp3 5T https://t.co/znb4lacY4J
08/01/2016,Hallo bu Ellen May @pakarsaham! Prediksi anda mengenai saham2 spt BBCA BMRI BHIT BMTR PTBA ANTM &amp; BBNI di Q1 2016 seperti apa?
08/01/2016,10:09 WIB - TOP GAINERS: BBRI +1.56% BMRI +0.82% AKRA +1.32% TOP LOSERS: TLKM -2.02% ASII -1.26% INTP -1.42% #IHSG #SAHAM #INDEKS
08/01/2016,9:40 WIB - TOP GAINERS: BBRI +1.33% BMRI +0.55% BBCA +0.19% TOP LOSERS: BDMN -0.83% BBTN -0.37% APIC -0.78% #IHSG #SAHAM #INDEKS
08/01/2016,Msh ada garis MA21 MA53 &amp; MA105 yg menahan penurunan BMRI. Semoga tdk tembus S1 di 8800. S2 ada di 8400. #trading
09/01/2016,Ba jorek bzhi la rut be bmri https://t.co/2vIzd7vK0L
09/01/2016,Rangkul Wisatawan Bank Mandiri Buka Cabang di Gili Trawangan: PT Bank Mandiri Tbk (BMRI) membuka kantor caban... https://t.co/2YCTLdKvsv
09/01/2016,Rangkul Wisatawan Bank Mandiri Buka Cabang di Gili Trawangan: PT Bank Mandiri Tbk (BMRI) membuka kantor caban... https://t.co/Ki0RxCBB9b
09/01/2016,Rangkul Wisatawan Bank Mandiri Buka Cabang di Gili Trawangan: PT Bank Mandiri Tbk (BMRI) membuk... https://t.co/ZqKknDUq7T #INFOwargaCRB
09/01/2016,Rangkul Wisatawan Bank Mandiri Buka Cabang di Gili Trawangan: PT Bank Mandiri Tbk (BMRI) membuka kantor caban... https://t.co/NpW0sMG89a
09/01/2016,Rangkul Wisatawan Bank Mandiri Buka Cabang di Gili Trawangan: PT Bank Mandiri Tbk (BMRI) membuka kantor caban... https://t.co/dJwawrFEfC
09/01/2016,PT Bank Mandiri Tbk (BMRI) membuka kantor cabang di lokasi wisata Gili Trawangan Kabupaten Lombok Utara dan Se... https://t.co/dRkw34KWWt
09/01/2016,Rangkul Wisatawan Bank Mandiri Buka Cabang di Gili Trawangan: PT Bank Mandiri Tbk (BMRI) membuka kantor caban... https://t.co/T3DGIpjn0H
09/01/2016,Rangkul Wisatawan Bank Mandiri Buka Cabang di Gili Trawangan: PT Bank Mandiri Tbk (BMRI) membuka kantor caban... https://t.co/Srx4M1qNPb
09/01/2016,#BeritaOtomotif Rangkul Wisatawan Bank Mandiri Buka Cabang di Gili Trawangan: PT Bank Mandiri Tbk (BMRI) memb... https://t.co/jYHbyPshf2
09/01/2016,PT Bank Mandiri Tbk (BMRI) membuka kantor cabang di lokasi wisata Gili Trawangan Kabupaten Lombok Utara dan Se... https://t.co/DpkA7Icucg
09/01/2016,Rangkul Wisatawan Bank Mandiri Buka Cabang di Gili Trawangan: PT Bank Mandiri Tbk (BMRI) membuka kantor caban... https://t.co/gMRck0b4oE
09/01/2016,Rangkul Wisatawan Bank Mandiri Buka Cabang di Gili Trawangan: PT Bank Mandiri Tbk (BMRI) membuka kantor caban... https://t.co/154pZDD833
10/01/2016,bought 1 000 shares of PT Bank Mandiri (Persero) Tbk(JKT:BMRI) @ IDR 9 275.00 via @TradeHeroMobile
11/01/2016,#kafein ASING membukukan NET SELL setara -688M pada saham : BBRI -135M BBCA 129M TLKM 119M BMRI -76M BBNI -54M dan UNVR -50M.
11/01/2016,Analisa perbankan Indonesia BBRI BMRI BBCA BBNI https://t.co/u2Jebz8Wru https://t.co/FdGuariFE2
11/01/2016,MACD $BMRI akan Dead Cross kalo &lt;8850
12/01/2016,Selamat jalan kawanku Unggul Susilowulan. Engkau adalah mutiara BMRI Papua Semoga khusnul khotimÃ h @Rosma_Handayani https://t.co/lbPq7ilAJT
